name,shimonoseki_title
赤沼隼一,都市整備部長（H22.4.1～H25.3.31）
荒高弘,農林水産振興部次長・水産課長事務取扱（H28.4～H30.3）
石井陽,都市整備部長（H27.4～H30.3）
石丸文至,保健部長・保健所長（R3.7.6～R5.7.31）
梅野修一,港湾局長（H21.6.25～H24.6.30）
大坂剛,都市整備部長（H18.4.1～H20.3.31）
柿澤満絵,こども未来部こども保健課長（H27.4.1～H29.3.31）
片山良太,財政部長（H24.5.1～H26.3.31）
河合宏一,総合政策部長（H12.4.1～H14.3.31）
川﨑俊正,港湾局長（H27.7.1～H30.2.4）
神長賢人,財政部長（R.1.8.1～R.4.6.30）
北澤 壮介,下関市港湾局長（H6.4～8.6月）
北島洋平,前副市長(R3.7.1～R7.6.30)
工藤健一,港湾局長(H30.2.5～R1.6.30）
熊澤至朗,都市整備部長（H25.4.1～H27.3.31）
九十九悠太,保健部長(H31.4.1～R3.7.6）
小栁太郎,財政部長（H15.4.1～H17.3.31）
酒井貴司,港湾局長（R4.4.1～R6.3.31）
佐々木美紀,都市整備部長（H30.4.1～R2.3.31）
澤田憲文,都市整備部長（H13.4.1～H15.3.31）
嶋倉剛,教育長（H20.5.26～H23.3.31）
杉田 博章,港湾局長（R1.7.1～R4.3.31）
鈴木 章記,保健部長（H22.4.1～H26.７.１0）
鈴木弘之,港湾局長（H19.2.15～H21.6.24）
髙橋伸輔,都市整備部長（H15.4.1～H18.3.31）
田林信哉,財政部長（H22.8.9～H24.4.30）
谷川勇二,港湾局長（H14.4.1～H17.3.31）
中野敏彦,港湾局長（H17.4.1～H19.2.14）
中村 真弥,農林水産振興部次長・水産課長事務取扱（H26.4.1～H28.3.31）
西村尚己,港湾局長（H24.7.1～H27.6.30）
野間哲人,財政部長（H26.4～H28.5）
野村宗成,総合政策部長（H15.4.1～H18.6.30）
長谷川学,保健部長（H26.7.11～H28.6.30）
平澤良輔,都市整備部長（R2.4.1～R4.3.31）
福本 怜,保健部長(H28.7.1～H31.3.31）
舞立昇治,財政部長（H17.4.1～H19.7.8）
松林 直邦,財政部長（H28.6～H30.3）
宮本 卓次郎,港湾局長（H10.4.1～H13.3.31）
山上直人,都市整備部長（R6.4.1～R7.3.31）
吉村元吾,都市整備部長（H20.4.1～H22.3.31）
米澤 朋通,財政部長（H10.4.1～H12.3.31）
芳田直樹,副市長（H29.7.1～R3.6.30）
渡辺真俊,保健部長（H19.8.1～H22.3.31）
坂本 修一,実家下関
時任 博之,元港湾局振興課(主幹(H26-27年)課長(H28-29年)
和田 卓,前山口県土木建設部長
小山 健一,前田市長同級生
戸谷 洋子,元九州地方整備局下関港湾事務所長(H30.4.1-R2.6.30)
樋口嘉章,港湾局長（H8～H10）
宮本卓次郎,港湾局長（H10.4.1～H13.3.31）
東田晃拓,財政部長（H19.7.9～H22.8.8）
塚本滉己,財政部長（R4.7.1～R6.6.30）
大庭靖貴,港湾局長（R6.4.1～R8.3.31）
